Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Disease
crampes,douleurs_abdominales,fatigue,fievre,nausees,vomissements,,,,,,,,,,gastroenterite
demangeaisons,eternuements,maux_de_tete,nez_qui_coule,obstruction_nasale,yeux_qui_piquent,,,,,,,,,,rhinite_allergique
douleurs_musculaires,fatigue,fievre,frissons,mal_gorge,maux_de_tete,perte_appetit,toux,,,,,,,,grippe
douleur_thoracique,fatigue,fievre,hemoptysie,perte_de_poids,sueurs_nocturnes,toux_chronique,,,,,,,,,tuberculose
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,perte_de_poids,vomissements,,,,,,,,,,ulcere_gastrique
crampes,diarrhee,douleurs_abdominales,nausees,vomissements,,,,,,,,,,,gastroenterite
cicatrisation_lente,fatigue,fourmillements,perte_de_poids,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,,diabete_type2
diarrhee,douleur_abdominale_droite,fievre,nausees,perte_appetit,vomissements,,,,,,,,,,appendicite
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,perte_de_poids,sang_dans_selles,,,,,,,,,,ulcere_gastrique
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,perte_de_poids,vomissements,,,,,,,,,,ulcere_gastrique
anxiete,essoufflement,fatigue,oppression_thoracique,toux_seche,,,,,,,,,,,asthme
demangeaisons,douleurs_articulaires,inflammation,ongles_epaissis,peau_ecailleuse,plaques_peau,sensibilite_peau,,,,,,,,,psoriasis
difficulte_a_avaler,fatigue,fievre,ganglions_gonfles,mal_gorge,maux_de_tete,toux,,,,,,,,,angine
anemie,douleurs_musculaires,fievre_cyclique,frissons,maux_de_tete,nausees,sueurs,vomissements,,,,,,,,paludisme
douleur_thoracique,essoufflement,fatigue,palpitations,syncope,vertiges,,,,,,,,,,arythmie
douleur_thoracique,fatigue,fievre,hemoptysie,perte_appetit,perte_de_poids,sueurs_nocturnes,toux_chronique,,,,,,,,tuberculose
essoufflement,fatigue,fievre,mal_gorge,maux_de_tete,toux_seche,,,,,,,,,,covid19
essoufflement,expectorations,fatigue,fievre,sifflement_respiratoire,toux,,,,,,,,,,bronchite
confusion,eruption_cutanee,fievre,maux_de_tete_intense,photophobie,raideur_nuque,vomissements,,,,,,,,,meningite
fatigue,fievre,hemoptysie,perte_de_poids,toux_chronique,,,,,,,,,,,tuberculose
douleur_thoracique,fatigue,fievre,hemoptysie,perte_appetit,perte_de_poids,sueurs_nocturnes,toux_chronique,,,,,,,,tuberculose
diarrhee,douleurs_musculaires,fatigue,perte_odorat,toux_seche,,,,,,,,,,,covid19
douleur_thoracique,fatigue,fievre,hemoptysie,perte_appetit,perte_de_poids,sueurs_nocturnes,,,,,,,,,tuberculose
confusion,eruption_cutanee,fievre,maux_de_tete_intense,raideur_nuque,,,,,,,,,,,meningite
demangeaisons,eternuements,fatigue,nez_qui_coule,obstruction_nasale,toux,yeux_qui_piquent,,,,,,,,,rhinite_allergique
constipation,douleur_abdominale_droite,fievre,nausees,vomissements,,,,,,,,,,,appendicite
constipation,douleur_abdominale_droite,fievre,nausees,vomissements,,,,,,,,,,,appendicite
insomnie,nervosité,perte_de_poids,sudation_excessive,tremblements,,,,,,,,,,,hyperthyroidie
anxiete,douleur_bras_gauche,douleur_thoracique,essoufflement,fatigue_extreme,nausees,sueurs_froides,,,,,,,,,infarctus
demangeaisons,douleurs_articulaires,inflammation,ongles_epaissis,peau_ecailleuse,plaques_peau,sensibilite_peau,,,,,,,,,psoriasis
anxiete,difficulte_a_parler,essoufflement,sifflement_respiratoire,toux_seche,,,,,,,,,,,asthme
exophtalmie,insomnie,nervosité,palpitations,tremblements,,,,,,,,,,,hyperthyroidie
douleur_thoracique,essoufflement,fatigue,fievre,frissons,maux_de_tete,toux,,,,,,,,,pneumonie
bourdonnements_oreilles,epistaxis,maux_de_tete,palpitations,,,,,,,,,,,,hypertension
douleur_thoracique,expectorations,fievre,frissons,maux_de_tete,sueurs_nocturnes,toux,,,,,,,,,pneumonie
fatigue,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,,,,asthme
cheveux_cassants,constipation,fatigue,frilosite,oedemes,,,,,,,,,,,hypothyroidie
difficulte_a_avaler,fievre,mal_gorge,maux_de_tete,nausees,toux,,,,,,,,,,angine
cicatrisation_lente,perte_de_poids,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,,,,diabete_type2
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,perte_de_poids,sang_dans_selles,vomissements,,,,,,,,,ulcere_gastrique
eternuements,maux_de_tete,nez_qui_coule,obstruction_nasale,yeux_qui_piquent,,,,,,,,,,,rhinite_allergique
confusion,faiblesse_bras,paralysie_faciale,trouble_parole,trouble_vision,vertiges,,,,,,,,,,avc
confusion,eruption_cutanee,fievre,nausees,photophobie,raideur_nuque,vomissements,,,,,,,,,meningite
confusion,eruption_cutanee,fievre,maux_de_tete_intense,nausees,photophobie,vomissements,,,,,,,,,meningite
demangeaisons,douleurs_articulaires,inflammation,ongles_epaissis,peau_ecailleuse,plaques_peau,sensibilite_peau,,,,,,,,,psoriasis
douleurs_musculaires,fatigue,maux_de_tete,perte_odorat,toux_seche,,,,,,,,,,,covid19
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,perte_de_poids,sang_dans_selles,vomissements,,,,,,,,,ulcere_gastrique
diarrhee,fatigue,nervosité,palpitations,tremblements,,,,,,,,,,,hyperthyroidie
douleur_thoracique,essoufflement,expectorations,fievre,maux_de_tete,toux,,,,,,,,,,pneumonie
croutes,demangeaisons,eruption_cutanee,inflammation,peau_qui_suinte,peau_rouge,,,,,,,,,,eczema
anxiete,douleur_thoracique,essoufflement,fatigue,palpitations,syncope,,,,,,,,,,arythmie
douleur_thoracique,fatigue,fievre,perte_appetit,perte_de_poids,sueurs_nocturnes,toux_chronique,,,,,,,,,tuberculose
diarrhee,douleurs_musculaires,fatigue,fievre,mal_gorge,toux_seche,,,,,,,,,,covid19
bradycardie,constipation,depression,fatigue,frilosite,peau_seche,prise_de_poids,,,,,,,,,hypothyroidie
essoufflement,fatigue,oedemes_jambes,prise_de_poids,vertiges,,,,,,,,,,,insuffisance_cardiaque
anxiete,difficulte_a_parler,essoufflement,oppression_thoracique,sifflement_respiratoire,,,,,,,,,,,asthme
anxiete,difficulte_a_parler,essoufflement,oppression_thoracique,toux_seche,,,,,,,,,,,asthme
douleur_abdominale_droite,fievre,jaunisse,nausees,selles_decolorees,urine_foncee,vomissements,,,,,,,,,hepatite
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,perte_equilibre,trouble_parole,,,,,,,,,,avc
diarrhee,douleurs_musculaires,essoufflement,fatigue,fievre,maux_de_tete,perte_odorat,toux_seche,,,,,,,,covid19
douleur_thoracique,essoufflement,expectorations,fatigue,sifflement_respiratoire,toux,,,,,,,,,,bronchite
alternance_diarrhee_constipation,ballonnements,crampes,douleurs_abdominales,gaz,nausees,,,,,,,,,,syndrome_colon_irritable
croutes,demangeaisons,peau_qui_suinte,peau_rouge,peau_seche,,,,,,,,,,,eczema
alternance_diarrhee_constipation,ballonnements,crampes,douleurs_abdominales,gaz,nausees,,,,,,,,,,syndrome_colon_irritable
demangeaisons,eruption_cutanee,inflammation,peau_qui_suinte,peau_rouge,peau_seche,sensibilite_peau,,,,,,,,,eczema
constipation,douleur_abdominale_droite,douleur_au_mouvement,nausees,perte_appetit,vomissements,,,,,,,,,,appendicite
anxiete,douleur_thoracique,essoufflement,fatigue,palpitations,syncope,vertiges,,,,,,,,,arythmie
eternuements,maux_de_tete,nez_qui_coule,obstruction_nasale,yeux_qui_piquent,,,,,,,,,,,rhinite_allergique
crampes,diarrhee,douleurs_abdominales,fievre,nausees,vomissements,,,,,,,,,,gastroenterite
anxiete,douleur_bras_gauche,essoufflement,fatigue_extreme,nausees,sueurs_froides,,,,,,,,,,infarctus
eternuements,fatigue,nez_qui_coule,obstruction_nasale,toux,yeux_qui_piquent,,,,,,,,,,rhinite_allergique
douleurs_musculaires,fievre_cyclique,frissons,maux_de_tete,sueurs,vomissements,,,,,,,,,,paludisme
aura_visuelle,fatigue,maux_de_tete_intense,nausees,sensibilite_lumiere,vomissements,,,,,,,,,,migraine
bourdonnements_oreilles,essoufflement,fatigue,maux_de_tete,vertiges,vision_trouble,,,,,,,,,,hypertension
fatigue,fievre,hemoptysie,perte_de_poids,toux_chronique,,,,,,,,,,,tuberculose
anxiete,douleur_bras_gauche,douleur_thoracique,essoufflement,nausees,vertiges,,,,,,,,,,infarctus
abdomen_gonflé,essoufflement,fatigue,palpitations,toux_nocturne,vertiges,,,,,,,,,,insuffisance_cardiaque
douleurs_abdominales,nausees,perte_appetit,vomissements,,,,,,,,,,,,gastroenterite
diarrhee,douleurs_abdominales,fievre,nausees,perte_appetit,vomissements,,,,,,,,,,gastroenterite
fatigue,fievre,mal_gorge,maux_de_tete,nez_qui_coule,perte_appetit,toux,,,,,,,,,grippe
chaleur_articulaire,fatigue,fievre,gonflement_articulations,perte_appetit,raideur_matinale,,,,,,,,,,arthrite
chaleur_articulaire,douleurs_articulaires,fatigue,limitation_mouvement,raideur_matinale,,,,,,,,,,,arthrite
douleur_thoracique,expectorations,fatigue,fievre,toux,,,,,,,,,,,pneumonie
douleur_abdominale_droite,fatigue,nausees,perte_appetit,selles_decolorees,urine_foncee,vomissements,,,,,,,,,hepatite
crampes,douleurs_abdominales,fatigue,fievre,nausees,vomissements,,,,,,,,,,gastroenterite
anxiete,douleur_thoracique,essoufflement,palpitations,syncope,vertiges,,,,,,,,,,arythmie
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,sang_dans_selles,vomissements,,,,,,,,,,ulcere_gastrique
diarrhee,douleurs_abdominales,fievre,nausees,perte_appetit,vomissements,,,,,,,,,,gastroenterite
diarrhee,douleur_abdominale_droite,fievre,nausees,perte_appetit,vomissements,,,,,,,,,,appendicite
constipation,diarrhee,douleur_abdominale_droite,fievre,nausees,perte_appetit,vomissements,,,,,,,,,appendicite
constipation,douleur_abdominale_droite,douleur_au_mouvement,fievre,nausees,perte_appetit,vomissements,,,,,,,,,appendicite
demangeaisons,inflammation,peau_rouge,peau_seche,sensibilite_peau,,,,,,,,,,,eczema
alternance_diarrhee_constipation,ballonnements,douleurs_abdominales,fatigue,gaz,nausees,,,,,,,,,,syndrome_colon_irritable
anemie,douleurs_musculaires,fatigue,frissons,maux_de_tete,nausees,sueurs,,,,,,,,,paludisme
diarrhee,nervosité,palpitations,sudation_excessive,tremblements,,,,,,,,,,,hyperthyroidie
eruption_cutanee,peau_qui_suinte,peau_rouge,peau_seche,,,,,,,,,,,,eczema
demangeaisons,inflammation,ongles_epaissis,peau_ecailleuse,plaques_peau,sensibilite_peau,,,,,,,,,,psoriasis
anxiete,douleur_thoracique,essoufflement,fatigue,palpitations,syncope,vertiges,,,,,,,,,arythmie
diarrhee,douleurs_musculaires,essoufflement,fatigue,fievre,mal_gorge,perte_odorat,toux_seche,,,,,,,,covid19
cicatrisation_lente,faim_excessive,fatigue,fourmillements,soif_excessive,urines_frequentes,,,,,,,,,,diabete_type2
aura,confusion_post_crise,convulsions,fatigue_post_crise,incontinence,morsure_langue,perte_conscience,,,,,,,,,epilepsie
bourdonnements_oreilles,maux_de_tete,palpitations,vertiges,vision_trouble,,,,,,,,,,,hypertension
diarrhee,essoufflement,fatigue,fievre,mal_gorge,perte_odorat,toux_seche,,,,,,,,,covid19
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,perte_equilibre,trouble_parole,vertiges,,,,,,,,,avc
eternuements,fatigue,maux_de_tete,nez_qui_coule,obstruction_nasale,toux,yeux_qui_piquent,,,,,,,,,rhinite_allergique
bradycardie,cheveux_cassants,constipation,depression,fatigue,frilosite,,,,,,,,,,hypothyroidie
demangeaisons,eruption_cutanee,inflammation,peau_qui_suinte,peau_rouge,sensibilite_peau,,,,,,,,,,eczema
douleur_thoracique,fievre,hemoptysie,sueurs_nocturnes,toux_chronique,,,,,,,,,,,tuberculose
constipation,douleur_abdominale_droite,douleur_au_mouvement,fievre,vomissements,,,,,,,,,,,appendicite
essoufflement,expectorations,fatigue,sifflement_respiratoire,toux,,,,,,,,,,,bronchite
bourdonnements_oreilles,essoufflement,fatigue,maux_de_tete,vision_trouble,,,,,,,,,,,hypertension
cicatrisation_lente,faim_excessive,fatigue,fourmillements,perte_de_poids,urines_frequentes,vision_trouble,,,,,,,,,diabete_type2
diarrhee,douleurs_abdominales,fatigue,fievre,vomissements,,,,,,,,,,,gastroenterite
difficulte_a_parler,essoufflement,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,,,asthme
anxiete,douleur_thoracique,essoufflement,fatigue,palpitations,syncope,,,,,,,,,,arythmie
douleur_bras_gauche,douleur_thoracique,nausees,sueurs_froides,vertiges,,,,,,,,,,,infarctus
crampes,diarrhee,douleurs_abdominales,fatigue,fievre,vomissements,,,,,,,,,,gastroenterite
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,trouble_parole,trouble_vision,vertiges,,,,,,,,,avc
douleur_thoracique,essoufflement,expectorations,fatigue,toux,,,,,,,,,,,bronchite
douleurs_musculaires,essoufflement,fatigue,fievre,mal_gorge,perte_odorat,,,,,,,,,,covid19
douleur_thoracique,fatigue,hemoptysie,perte_appetit,perte_de_poids,sueurs_nocturnes,toux_chronique,,,,,,,,,tuberculose
bourdonnements_oreilles,fatigue,maux_de_tete,palpitations,,,,,,,,,,,,hypertension
douleurs_musculaires,fatigue,fievre,frissons,mal_gorge,maux_de_tete,toux,,,,,,,,,grippe
douleur_abdominale_droite,fatigue,fievre,nausees,selles_decolorees,urine_foncee,,,,,,,,,,hepatite
diarrhee,douleurs_musculaires,fatigue,fievre,perte_odorat,toux_seche,,,,,,,,,,covid19
douleur_thoracique,essoufflement,expectorations,fatigue,fievre,sifflement_respiratoire,toux,,,,,,,,,bronchite
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,sang_dans_selles,,,,,,,,,,,ulcere_gastrique
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,perte_equilibre,trouble_parole,trouble_vision,vertiges,,,,,,,,avc
alternance_diarrhee_constipation,ballonnements,crampes,douleurs_abdominales,fatigue,gaz,nausees,,,,,,,,,syndrome_colon_irritable
diarrhee,douleur_abdominale_droite,douleur_au_mouvement,fievre,nausees,,,,,,,,,,,appendicite
diarrhee,fatigue,insomnie,nervosité,palpitations,perte_de_poids,sudation_excessive,tremblements,,,,,,,,hyperthyroidie
alternance_diarrhee_constipation,ballonnements,douleurs_abdominales,fatigue,gaz,nausees,,,,,,,,,,syndrome_colon_irritable
fatigue,maux_de_tete_intense,nausees,sensibilite_bruit,vertiges,,,,,,,,,,,migraine
chaleur_articulaire,douleurs_articulaires,fievre,gonflement_articulations,limitation_mouvement,perte_appetit,raideur_matinale,,,,,,,,,arthrite
douleurs_musculaires,fatigue,mal_gorge,maux_de_tete,perte_odorat,toux_seche,,,,,,,,,,covid19
bourdonnements_oreilles,epistaxis,essoufflement,fatigue,vertiges,vision_trouble,,,,,,,,,,hypertension
fievre_cyclique,frissons,maux_de_tete,nausees,sueurs,vomissements,,,,,,,,,,paludisme
douleur_thoracique,essoufflement,fatigue,palpitations,syncope,vertiges,,,,,,,,,,arythmie
essoufflement,maux_de_tete,vertiges,vision_trouble,,,,,,,,,,,,hypertension
bradycardie,constipation,depression,fatigue,frilosite,oedemes,prise_de_poids,,,,,,,,,hypothyroidie
croutes,demangeaisons,eruption_cutanee,peau_rouge,,,,,,,,,,,,eczema
fatigue,maux_de_tete_intense,nausees,sensibilite_bruit,sensibilite_lumiere,vertiges,,,,,,,,,,migraine
alternance_diarrhee_constipation,ballonnements,douleurs_abdominales,fatigue,gaz,,,,,,,,,,,syndrome_colon_irritable
douleur_dos,fatigue,irradiation_jambe,raideur_dos,spasmes_musculaires,,,,,,,,,,,lombalgie
constipation,depression,fatigue,frilosite,oedemes,peau_seche,,,,,,,,,,hypothyroidie
douleur_dos,fatigue,irradiation_jambe,limitation_mouvement,spasmes_musculaires,,,,,,,,,,,lombalgie
douleur_dos,douleur_position,irradiation_jambe,limitation_mouvement,,,,,,,,,,,,lombalgie
douleur_bras_gauche,douleur_thoracique,essoufflement,fatigue_extreme,nausees,vertiges,,,,,,,,,,infarctus
fatigue,palpitations,perte_de_poids,sudation_excessive,tremblements,,,,,,,,,,,hyperthyroidie
chaleur_articulaire,douleurs_articulaires,fatigue,gonflement_articulations,limitation_mouvement,perte_appetit,,,,,,,,,,arthrite
douleur_thoracique,essoufflement,expectorations,fatigue,maux_de_tete,sueurs_nocturnes,toux,,,,,,,,,pneumonie
aura_visuelle,maux_de_tete_intense,nausees,sensibilite_bruit,sensibilite_lumiere,vomissements,,,,,,,,,,migraine
aura,confusion_post_crise,convulsions,incontinence,perte_conscience,,,,,,,,,,,epilepsie
fatigue,fievre,hemoptysie,perte_appetit,perte_de_poids,sueurs_nocturnes,toux_chronique,,,,,,,,,tuberculose
douleur_thoracique,fatigue,fievre,hemoptysie,perte_appetit,perte_de_poids,sueurs_nocturnes,toux_chronique,,,,,,,,tuberculose
alternance_diarrhee_constipation,ballonnements,crampes,douleurs_abdominales,fatigue,gaz,nausees,,,,,,,,,syndrome_colon_irritable
confusion,maux_de_tete_soudain,paralysie_faciale,perte_equilibre,trouble_parole,vertiges,,,,,,,,,,avc
aura,confusion_post_crise,convulsions,fatigue_post_crise,perte_conscience,,,,,,,,,,,epilepsie
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,sang_dans_selles,vomissements,,,,,,,,,,ulcere_gastrique
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,perte_de_poids,sang_dans_selles,vomissements,,,,,,,,,ulcere_gastrique
cicatrisation_lente,faim_excessive,fatigue,fourmillements,perte_de_poids,urines_frequentes,vision_trouble,,,,,,,,,diabete_type2
diarrhee,insomnie,nervosité,palpitations,perte_de_poids,tremblements,,,,,,,,,,hyperthyroidie
chaleur_articulaire,douleurs_articulaires,gonflement_articulations,limitation_mouvement,raideur_matinale,,,,,,,,,,,arthrite
confusion,maux_de_tete_soudain,paralysie_faciale,perte_equilibre,trouble_parole,trouble_vision,vertiges,,,,,,,,,avc
eternuements,fatigue,nez_qui_coule,obstruction_nasale,toux,,,,,,,,,,,rhinite_allergique
cheveux_cassants,constipation,fatigue,frilosite,oedemes,peau_seche,prise_de_poids,,,,,,,,,hypothyroidie
aura,convulsions,incontinence,morsure_langue,perte_conscience,,,,,,,,,,,epilepsie
douleur_thoracique,essoufflement,expectorations,fievre,sifflement_respiratoire,toux,,,,,,,,,,bronchite
anxiete,difficulte_a_parler,essoufflement,fatigue,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,asthme
douleur_abdominale_droite,fatigue,nausees,perte_appetit,urine_foncee,vomissements,,,,,,,,,,hepatite
cicatrisation_lente,faim_excessive,fatigue,fourmillements,perte_de_poids,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,diabete_type2
crampes,diarrhee,douleurs_abdominales,nausees,perte_appetit,vomissements,,,,,,,,,,gastroenterite
douleur_dos,douleur_position,fatigue,limitation_mouvement,raideur_dos,spasmes_musculaires,,,,,,,,,,lombalgie
diarrhee,essoufflement,fatigue,fievre,mal_gorge,perte_odorat,toux_seche,,,,,,,,,covid19
douleurs_musculaires,fatigue,fievre,frissons,toux,,,,,,,,,,,grippe
douleur_thoracique,essoufflement,expectorations,fievre,maux_de_tete,toux,,,,,,,,,,pneumonie
douleur_thoracique,fatigue,fievre,hemoptysie,perte_de_poids,sueurs_nocturnes,toux_chronique,,,,,,,,,tuberculose
demangeaisons,inflammation,peau_ecailleuse,plaques_peau,sensibilite_peau,,,,,,,,,,,psoriasis
demangeaisons,eternuements,maux_de_tete,nez_qui_coule,yeux_qui_piquent,,,,,,,,,,,rhinite_allergique
diarrhee,douleurs_musculaires,fatigue,fievre,mal_gorge,maux_de_tete,perte_odorat,toux_seche,,,,,,,,covid19
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,trouble_parole,trouble_vision,,,,,,,,,,avc
bourdonnements_oreilles,epistaxis,essoufflement,fatigue,maux_de_tete,vision_trouble,,,,,,,,,,hypertension
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,perte_equilibre,trouble_parole,trouble_vision,,,,,,,,,avc
aura_visuelle,maux_de_tete_intense,nausees,sensibilite_bruit,sensibilite_lumiere,,,,,,,,,,,migraine
confusion,faiblesse_bras,maux_de_tete_soudain,perte_equilibre,trouble_parole,trouble_vision,vertiges,,,,,,,,,avc
crampes,diarrhee,douleurs_abdominales,fatigue,nausees,perte_appetit,vomissements,,,,,,,,,gastroenterite
confusion_post_crise,convulsions,fatigue_post_crise,incontinence,morsure_langue,perte_conscience,,,,,,,,,,epilepsie
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,perte_equilibre,trouble_parole,trouble_vision,vertiges,,,,,,,,avc
difficulte_a_parler,essoufflement,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,,,asthme
essoufflement,expectorations,fatigue,fievre,sueurs_nocturnes,toux,,,,,,,,,,pneumonie
essoufflement,oedemes_jambes,palpitations,toux_nocturne,vertiges,,,,,,,,,,,insuffisance_cardiaque
demangeaisons,douleurs_articulaires,inflammation,ongles_epaissis,peau_ecailleuse,plaques_peau,sensibilite_peau,,,,,,,,,psoriasis
alternance_diarrhee_constipation,ballonnements,crampes,douleurs_abdominales,fatigue,nausees,,,,,,,,,,syndrome_colon_irritable
cicatrisation_lente,faim_excessive,fatigue,fourmillements,perte_de_poids,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,diabete_type2
demangeaisons,douleurs_articulaires,inflammation,plaques_peau,,,,,,,,,,,,psoriasis
bourdonnements_oreilles,essoufflement,fatigue,maux_de_tete,vertiges,vision_trouble,,,,,,,,,,hypertension
douleurs_articulaires,fatigue,gonflement_articulations,limitation_mouvement,perte_appetit,raideur_matinale,,,,,,,,,,arthrite
abdomen_gonflé,essoufflement,fatigue,oedemes_jambes,palpitations,toux_nocturne,vertiges,,,,,,,,,insuffisance_cardiaque
difficulte_a_avaler,fievre,ganglions_gonfles,mal_gorge,nausees,,,,,,,,,,,angine
douleurs_musculaires,fatigue,fievre,mal_gorge,maux_de_tete,toux,,,,,,,,,,grippe
difficulte_a_avaler,ganglions_gonfles,mal_gorge,maux_de_tete,nausees,,,,,,,,,,,angine
demangeaisons,douleurs_articulaires,inflammation,plaques_peau,,,,,,,,,,,,psoriasis
eruption_cutanee,inflammation,peau_rouge,peau_seche,sensibilite_peau,,,,,,,,,,,eczema
demangeaisons,inflammation,ongles_epaissis,peau_ecailleuse,plaques_peau,sensibilite_peau,,,,,,,,,,psoriasis
diarrhee,douleurs_musculaires,fievre,mal_gorge,perte_odorat,toux_seche,,,,,,,,,,covid19
cicatrisation_lente,faim_excessive,fourmillements,perte_de_poids,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,,diabete_type2
anxiete,douleur_bras_gauche,douleur_thoracique,essoufflement,fatigue_extreme,sueurs_froides,vertiges,,,,,,,,,infarctus
demangeaisons,inflammation,ongles_epaissis,plaques_peau,,,,,,,,,,,,psoriasis
essoufflement,expectorations,fatigue,sifflement_respiratoire,toux,,,,,,,,,,,bronchite
anemie,fatigue,fievre_cyclique,frissons,maux_de_tete,sueurs,,,,,,,,,,paludisme
anxiete,douleur_bras_gauche,douleur_thoracique,essoufflement,fatigue_extreme,nausees,sueurs_froides,,,,,,,,,infarctus
crampes,diarrhee,douleurs_abdominales,fatigue,nausees,perte_appetit,vomissements,,,,,,,,,gastroenterite
anxiete,douleur_thoracique,essoufflement,fatigue,syncope,vertiges,,,,,,,,,,arythmie
douleurs_musculaires,fatigue,fievre,frissons,mal_gorge,maux_de_tete,nez_qui_coule,toux,,,,,,,,grippe
bourdonnements_oreilles,epistaxis,fatigue,maux_de_tete,vertiges,vision_trouble,,,,,,,,,,hypertension
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,perte_de_poids,sang_dans_selles,vomissements,,,,,,,,,ulcere_gastrique
depression,fatigue,frilosite,oedemes,peau_seche,prise_de_poids,,,,,,,,,,hypothyroidie
douleur_dos,irradiation_jambe,limitation_mouvement,raideur_dos,spasmes_musculaires,,,,,,,,,,,lombalgie
bradycardie,constipation,fatigue,oedemes,prise_de_poids,,,,,,,,,,,hypothyroidie
douleur_bras_gauche,douleur_thoracique,essoufflement,fatigue_extreme,nausees,,,,,,,,,,,infarctus
douleur_thoracique,essoufflement,expectorations,fievre,maux_de_tete,sueurs_nocturnes,toux,,,,,,,,,pneumonie
anxiete,essoufflement,sifflement_respiratoire,toux_seche,,,,,,,,,,,,asthme
alternance_diarrhee_constipation,ballonnements,crampes,douleurs_abdominales,gaz,,,,,,,,,,,syndrome_colon_irritable
essoufflement,fatigue,sifflement_respiratoire,toux_seche,,,,,,,,,,,,asthme
fievre_cyclique,frissons,nausees,sueurs,vomissements,,,,,,,,,,,paludisme
anxiete,douleur_bras_gauche,douleur_thoracique,essoufflement,fatigue_extreme,nausees,sueurs_froides,vertiges,,,,,,,,infarctus
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,trouble_parole,trouble_vision,vertiges,,,,,,,,,avc
fatigue,maux_de_tete_intense,sensibilite_bruit,sensibilite_lumiere,,,,,,,,,,,,migraine
douleurs_musculaires,fatigue,fievre_cyclique,maux_de_tete,nausees,sueurs,vomissements,,,,,,,,,paludisme
fatigue,fievre,mal_gorge,maux_de_tete,toux_seche,,,,,,,,,,,covid19
douleurs_musculaires,fatigue,fievre,mal_gorge,maux_de_tete,nez_qui_coule,toux,,,,,,,,,grippe
croutes,eruption_cutanee,peau_qui_suinte,peau_rouge,peau_seche,sensibilite_peau,,,,,,,,,,eczema
constipation,douleur_abdominale_droite,douleur_au_mouvement,fievre,vomissements,,,,,,,,,,,appendicite
demangeaisons,douleurs_articulaires,inflammation,ongles_epaissis,plaques_peau,sensibilite_peau,,,,,,,,,,psoriasis
chaleur_articulaire,fatigue,gonflement_articulations,raideur_matinale,,,,,,,,,,,,arthrite
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,perte_de_poids,sang_dans_selles,vomissements,,,,,,,,,ulcere_gastrique
confusion_post_crise,convulsions,fatigue_post_crise,incontinence,morsure_langue,,,,,,,,,,,epilepsie
douleur_abdominale_droite,fatigue,fievre,jaunisse,perte_appetit,,,,,,,,,,,hepatite
douleur_thoracique,fievre,perte_appetit,sueurs_nocturnes,toux_chronique,,,,,,,,,,,tuberculose
douleurs_musculaires,fatigue,fievre,maux_de_tete,nez_qui_coule,perte_appetit,toux,,,,,,,,,grippe
confusion,eruption_cutanee,fievre,maux_de_tete_intense,nausees,photophobie,vomissements,,,,,,,,,meningite
diarrhee,fatigue,fievre,mal_gorge,perte_odorat,toux_seche,,,,,,,,,,covid19
croutes,demangeaisons,inflammation,peau_rouge,peau_seche,sensibilite_peau,,,,,,,,,,eczema
essoufflement,fievre,mal_gorge,perte_odorat,toux_seche,,,,,,,,,,,covid19
fatigue,fievre,hemoptysie,perte_appetit,sueurs_nocturnes,toux_chronique,,,,,,,,,,tuberculose
fatigue,fievre,mal_gorge,maux_de_tete,perte_odorat,,,,,,,,,,,covid19
chaleur_articulaire,douleurs_articulaires,fievre,gonflement_articulations,limitation_mouvement,perte_appetit,raideur_matinale,,,,,,,,,arthrite
bradycardie,constipation,depression,fatigue,frilosite,peau_seche,prise_de_poids,,,,,,,,,hypothyroidie
